block,cycle,AR,direction,key_response
1,1,1.0,increasing,m
1,1,1.0254766864284557,increasing,['']
1,1,1.0519395134779739,increasing,['']
1,1,1.0794400404790003,increasing,['']
1,1,1.1080332409972284,increasing,['']
1,1,1.1377777777777764,increasing,['']
1,1,1.1687363038714378,increasing,['']
1,1,1.2009757928316742,increasing,z
1,2,1.2009757928316742,increasing,['']
1,2,1.1687363038714378,decreasing,m
1,2,1.1687363038714378,decreasing,['']
1,2,1.2009757928316742,decreasing,['']
1,2,1.2345679012345665,decreasing,['']
1,2,1.2695893671890484,increasing,z
1,3,1.2695893671890484,decreasing,m
1,3,1.2695893671890484,decreasing,['']
1,3,1.3061224489795906,decreasing,['']
1,3,1.3442554085276188,increasing,z
1,4,1.3442554085276188,decreasing,m
1,4,1.3442554085276188,increasing,z
1,5,1.3442554085276188,decreasing,m
1,5,1.3442554085276188,decreasing,['']
1,5,1.3840830449826973,decreasing,['']
1,5,1.4257072844731549,increasing,z
1,6,1.4257072844731549,decreasing,m
1,6,1.4257072844731549,decreasing,['']
1,6,1.469237832874195,increasing,z
1,7,1.469237832874195,increasing,['']
1,7,1.4257072844731549,decreasing,m
1,7,1.4257072844731549,decreasing,['']
1,7,1.469237832874195,increasing,z
1,8,1.469237832874195,increasing,['']
1,8,1.4257072844731549,decreasing,m
1,8,1.4257072844731549,decreasing,['']
1,8,1.469237832874195,increasing,z
1,9,1.469237832874195,increasing,['']
1,9,1.4257072844731549,increasing,['']
1,9,1.3840830449826973,decreasing,m
1,9,1.3840830449826973,decreasing,['']
1,9,1.4257072844731549,decreasing,['']
1,9,1.469237832874195,increasing,z
1,10,1.469237832874195,increasing,['']
1,10,1.4257072844731549,increasing,['']
1,10,1.3840830449826973,decreasing,m
1,10,1.3840830449826973,decreasing,['']
1,10,1.4257072844731549,decreasing,['']
1,10,1.469237832874195,increasing,z
1,11,1.469237832874195,increasing,z
1,11,1.4257072844731549,increasing,['']
1,11,1.3840830449826973,decreasing,m
1,12,1.3840830449826973,increasing,z
1,12,1.3840830449826973,increasing,z
1,12,1.3442554085276188,increasing,['']
1,12,1.3061224489795906,decreasing,m
1,13,1.3061224489795906,decreasing,['']
1,13,1.3442554085276188,decreasing,m
1,13,1.3840830449826973,decreasing,['']
1,13,1.4257072844731549,increasing,z
1,14,1.4257072844731549,increasing,['']
1,14,1.3840830449826973,increasing,z
1,14,1.3442554085276188,increasing,['']
1,14,1.3061224489795906,decreasing,m
1,15,1.3061224489795906,increasing,z
1,15,1.3061224489795906,decreasing,m
1,16,1.3061224489795906,increasing,z
1,16,1.3061224489795906,decreasing,m
1,17,1.3061224489795906,increasing,z
1,17,1.3061224489795906,increasing,['']
1,17,1.2695893671890484,decreasing,m
1,18,1.2695893671890484,decreasing,['']
1,18,1.3061224489795906,decreasing,m
1,18,1.3442554085276188,decreasing,['']
1,18,1.3840830449826973,increasing,z
1,19,1.3840830449826973,increasing,['']
1,19,1.3442554085276188,increasing,z
1,19,1.3061224489795906,decreasing,m
1,20,1.3061224489795906,increasing,z
1,20,1.3061224489795906,increasing,['']
1,20,1.2695893671890484,decreasing,m
1,21,1.2695893671890484,decreasing,['']
1,21,1.3061224489795906,decreasing,m
1,21,1.3442554085276188,decreasing,['']
1,21,1.3840830449826973,increasing,z
1,22,1.3840830449826973,increasing,z
1,22,1.3442554085276188,decreasing,m
1,23,1.3442554085276188,increasing,z
1,23,1.3442554085276188,increasing,['']
1,23,1.3061224489795906,increasing,['']
1,23,1.2695893671890484,increasing,['']
1,23,1.2345679012345665,decreasing,m
1,24,1.2345679012345665,decreasing,['']
1,24,1.2695893671890484,decreasing,['']
1,24,1.3061224489795906,decreasing,['']
1,24,1.3442554085276188,increasing,z
1,24,1.3442554085276188,decreasing,m
1,25,1.3442554085276188,decreasing,['']
1,25,1.3840830449826973,decreasing,m
1,25,1.4257072844731549,decreasing,['']
1,25,1.469237832874195,increasing,z
1,26,1.469237832874195,increasing,['']
1,26,1.4257072844731549,increasing,['']
1,26,1.3840830449826973,decreasing,m
1,26,1.3840830449826973,decreasing,['']
1,26,1.4257072844731549,decreasing,['']
1,26,1.469237832874195,decreasing,['']
1,26,1.5147928994082824,increasing,z
1,27,1.5147928994082824,increasing,['']
1,27,1.469237832874195,decreasing,m
1,27,1.469237832874195,decreasing,['']
1,27,1.5147928994082824,decreasing,['']
1,27,1.5624999999999982,decreasing,['']
1,27,1.612496850592087,decreasing,['']
1,27,1.6649323621227872,decreasing,['']
1,27,1.7199677506046742,increasing,z
1,28,1.7199677506046742,increasing,['']
1,28,1.6649323621227872,increasing,['']
1,28,1.612496850592087,increasing,['']
1,28,1.5624999999999982,increasing,['']
1,28,1.5147928994082824,increasing,['']
1,28,1.469237832874195,decreasing,m
1,28,1.469237832874195,increasing,z
1,29,1.469237832874195,increasing,['']
1,29,1.4257072844731549,increasing,z
1,29,1.3840830449826973,increasing,['']
1,29,1.3442554085276188,decreasing,m
1,30,1.3442554085276188,increasing,z
1,30,1.3442554085276188,increasing,['']
1,30,1.3061224489795906,decreasing,m
1,31,1.3061224489795906,decreasing,['']
1,31,1.3442554085276188,decreasing,m
1,31,1.3840830449826973,increasing,z
1,32,1.3840830449826973,decreasing,m
1,32,1.3840830449826973,increasing,z
1,33,1.3840830449826973,increasing,['']
1,33,1.3442554085276188,increasing,z
1,33,1.3061224489795906,decreasing,m
1,34,1.3061224489795906,increasing,z
1,34,1.3061224489795906,increasing,['']
1,34,1.2695893671890484,increasing,z
1,34,1.2345679012345665,increasing,['']
1,34,1.2009757928316742,increasing,['']
1,34,1.1687363038714378,increasing,['']
1,34,1.1377777777777764,decreasing,m
1,35,1.1377777777777764,increasing,z
1,35,1.1377777777777764,increasing,['']
1,35,1.1080332409972284,increasing,z
1,35,1.0794400404790003,increasing,['']
1,35,1.0519395134779739,decreasing,m
1,36,1.0519395134779739,increasing,z
1,36,1.0519395134779739,decreasing,m
1,37,1.0519395134779739,decreasing,['']
1,37,1.0794400404790003,increasing,z
1,37,1.0794400404790003,decreasing,m
1,38,1.0794400404790003,decreasing,['']
1,38,1.1080332409972284,decreasing,['']
1,38,1.1377777777777764,decreasing,['']
1,38,1.1687363038714378,decreasing,['']
1,38,1.2009757928316742,increasing,z
1,38,1.2009757928316742,increasing,['']
1,38,1.1687363038714378,increasing,['']
1,38,1.1377777777777764,increasing,['']
1,38,1.1080332409972284,decreasing,m
1,39,1.1080332409972284,increasing,z
1,39,1.1080332409972284,decreasing,m
1,40,1.1080332409972284,decreasing,['']
1,40,1.1377777777777764,increasing,z
1,40,1.1377777777777764,increasing,['']
1,40,1.1080332409972284,increasing,z
1,40,1.0794400404790003,increasing,['']
1,40,1.0519395134779739,decreasing,m
1,41,1.0519395134779739,decreasing,['']
1,41,1.0794400404790003,decreasing,m
1,41,1.1080332409972284,increasing,z
1,42,1.1080332409972284,increasing,['']
1,42,1.0794400404790003,increasing,['']
1,42,1.0519395134779739,increasing,['']
1,42,1.0254766864284557,increasing,['']
1,42,1.0,increasing,['']
1,42,0.7901234567901234,increasing,['']
1,42,0.64,increasing,['']
1,42,0.5289256198347108,increasing,['']
1,42,0.4444444444444444,decreasing,m
1,42,0.4444444444444444,decreasing,['']
1,42,0.5289256198347108,decreasing,['']
1,42,0.64,decreasing,['']
1,42,0.7901234567901234,decreasing,['']
